batsman,inning,batsman_runs,is_wicket,strike,batting_avg
Iqbal Abdulla,158,88,1,102.3255814,88
RD Gaikwad,341,204,3,117.9190751,68
MN van Wyk,172,167,3,123.7037037,55.66666667
PD Collingwood,210,203,4,127.672956,50.75
HM Amla,550,577,13,138.0382775,44.38461538
LH Ferguson,30,44,1,146.6666667,44
KL Rahul,3046,2647,62,133.0150754,42.69354839
AB de Villiers,4661,4849,114,148.560049,42.53508772
DA Warner,5569,5254,126,137.5752815,41.6984127
JP Duminy,2296,2029,49,120.7738095,41.40816327
CH Gayle,4847,4772,116,142.7887493,41.13793103
ML Hayden,1210,1107,27,132.1002387,41
LMP Simmons,1205,1079,27,122.8929385,39.96296296
JM Bairstow,910,790,20,137.1527778,39.5
KS Williamson,1781,1619,41,132.487725,39.48780488
OA Shah,514,506,13,124.9382716,38.92307692
SE Marsh,2696,2477,64,129.8218029,38.703125
MEK Hussey,2240,1977,52,119.9635922,38.01923077
A Symonds,1090,974,26,124.7119078,37.46153846
DJ Harris,147,111,3,107.7669903,37
MS Dhoni,5029,4632,126,132.6080733,36.76190476
V Kohli,6738,5878,163,127.5330874,36.06134969
AN Ahmed,52,36,1,133.3333333,36
JC Buttler,1938,1714,48,144.7635135,35.70833333
RR Pant,2138,2079,59,146.8220339,35.23728814
B Sumanth,60,35,1,92.10526316,35
Shubman Gill,1066,939,27,122.5848564,34.77777778
CA Lynn,1441,1280,37,136.4605544,34.59459459
KP Pietersen,1244,1001,29,132.0580475,34.51724138
F du Plessis,2836,2302,67,125.9299781,34.35820896
DA Miller,2133,1850,54,134.643377,34.25925926
S Dhawan,5926,5197,152,123.5028517,34.19078947
TM Head,187,205,6,135.7615894,34.16666667
D Padikkal,511,473,14,118.8442211,33.78571429
SK Raina,5746,5368,160,132.8384063,33.55
D Salunkhe,28,33,1,137.5,33
SR Tendulkar,3026,2334,71,114.1878669,32.87323944
Q de Kock,2240,1959,60,130.6871247,32.65
SPD Smith,2914,2333,72,125.5651238,32.40277778
BJ Rohrer,221,193,6,133.1034483,32.16666667
Kamran Akmal,128,128,4,164.1025641,32
MJ Santner,50,32,1,128,32
AM Rahane,4986,3933,125,118.2857143,31.464
G Gambhir,5640,4217,135,119.6651532,31.23703704
Bipul Sharma,198,187,6,150.8064516,31.16666667
V Shankar,803,654,21,123.8636364,31.14285714
SA Yadav,2209,2024,65,131.7708333,31.13846154
A Flintoff,100,62,2,108.7719298,31
SR Watson,4460,3874,125,134.1412742,30.992
N Pooran,508,521,17,161.3003096,30.64705882
BJ Hodge,1738,1400,46,121.4223764,30.43478261
AD Russell,1302,1517,50,171.9954649,30.34
Ishan Kishan,1293,1211,40,133.5170893,30.275
AC Voges,187,181,6,126.5734266,30.16666667
SS Iyer,2566,2200,73,122.0865705,30.1369863
S Badrinath,1706,1441,48,115.7429719,30.02083333
MK Pandey,4247,3268,109,117.8932179,29.98165138
JJ Roy,197,179,6,128.7769784,29.83333333
AT Rayudu,4596,3659,123,123.1986532,29.74796748
JEC Franklin,530,327,11,105.8252427,29.72727273
RG Sharma,5906,5230,177,127.9354207,29.5480226
DR Smith,2692,2385,81,132.2795341,29.44444444
YK Pathan,3623,3204,111,137.5107296,28.86486486
SS Tiwary,1717,1379,48,115.6879195,28.72916667
HH Pandya,1264,1349,47,150.3901895,28.70212766
DPMD Jayawardene,2380,1802,63,118.5526316,28.6031746
KA Pollard,3000,3023,106,143.4741338,28.51886792
SV Samson,3121,2584,91,131.1675127,28.3956044
R Dravid,2930,2174,77,113.3472367,28.23376623
R Tewatia,479,366,13,130.7142857,28.15384615
TM Dilshan,1564,1153,41,110.1241643,28.12195122
RS Bopara,662,531,19,113.4615385,27.94736842
V Sehwag,2739,2728,98,148.8270595,27.83673469
MJ Lumb,310,278,10,140.4040404,27.8
MK Tiwary,2220,1695,61,113.8347884,27.78688525
HH Gibbs,1253,886,32,105.8542413,27.6875
MC Henriques,992,969,35,126.0078023,27.68571429
Salman Butt,200,193,7,112.2093023,27.57142857
MP Stoinis,829,825,30,132.423756,27.5
LA Pomersbach,417,302,11,120.3187251,27.45454545
JH Kallis,3729,2427,89,105.9362724,27.26966292
RV Uthappa,5741,4607,169,125.9431383,27.26035503
CL White,1057,954,35,124.0572172,27.25714286
AC Gilchrist,2347,2069,76,133.0546624,27.22368421
BB McCullum,3206,2880,106,127.0401412,27.16981132
N Rana,1689,1437,53,131.4730101,27.11320755
M Vijay,3226,2619,97,118.6141304,27
LA Carseldine,125,81,3,114.084507,27
J Suchith,88,54,2,112.5,27
DJ Hussey,1567,1322,49,120.0726612,26.97959184
E Lewis,458,430,16,125.3644315,26.875
RA Tripathi,1083,988,37,130.6878307,26.7027027
LJ Wright,91,106,4,168.2539683,26.5
TK Curran,162,106,4,116.4835165,26.5
ST Jayasuriya,798,768,29,134.0314136,26.48275862
KH Pandya,1015,1000,38,137.5515818,26.31578947
MV Boucher,499,394,15,123.8993711,26.26666667
EJG Morgan,1509,1272,49,122.6615236,25.95918367
AJ Finch,2347,2005,78,123.6128237,25.70512821
D Wiese,167,127,5,135.106383,25.4
UT Khawaja,187,127,5,120.952381,25.4
WP Saha,2116,1979,78,128.4231019,25.37179487
DB Das,368,304,12,113.8576779,25.33333333
Yuvraj Singh,3279,2750,109,124.7165533,25.2293578
KD Karthik,4350,3823,152,126.4637777,25.15131579
BB Samantray,130,125,5,107.7586207,25
SC Ganguly,1938,1349,54,101.73454,24.98148148
LRPL Taylor,1401,1017,41,120.0708383,24.80487805
AD Hales,185,148,6,124.3697479,24.66666667
GC Smith,1090,739,30,106.9464544,24.63333333
R Parag,322,246,10,114.953271,24.6
AB McDonald,149,123,5,119.4174757,24.6
RA Jadeja,2654,2159,88,121.7023675,24.53409091
JR Hopes,503,417,17,132.8025478,24.52941176
CJ Anderson,614,538,22,123.3944954,24.45454545
KC Sangakkara,1946,1687,69,118.4691011,24.44927536
JA Morkel,1025,974,40,136.9901547,24.35
RR Sarwan,147,73,3,93.58974359,24.33333333
BA Stokes,1109,920,38,131.4285714,24.21052632
Niraj Patel,226,121,5,97.58064516,24.2
SM Katich,369,241,10,126.1780105,24.1
M Vohra,1150,1012,42,126.5,24.0952381
YV Takawale,305,192,8,104.9180328,24
MM Ali,239,309,13,155.2763819,23.76923077
KK Nair,1756,1480,63,126.0647359,23.49206349
Y Venugopal Rao,1254,985,42,113.8728324,23.45238095
SM Curran,256,281,12,140.5,23.41666667
AD Mathews,873,724,31,120.8681135,23.35483871
LS Livingstone,83,70,3,145.8333333,23.33333333
CH Morris,547,551,24,153.0555556,22.95833333
PC Valthaty,654,505,22,116.8981481,22.95454545
DJ Bravo,1797,1490,65,124.2702252,22.92307692
GJ Bailey,793,663,29,120.1086957,22.86206897
KM Jadhav,1446,1141,50,120.4857445,22.82
TL Suman,953,676,30,115.1618399,22.53333333
MJ Guptill,245,270,12,137.755102,22.5
PA Patel,3698,2848,127,116.6257166,22.42519685
AB Agarkar,222,179,8,111.875,22.375
RR Powar,77,67,3,104.6875,22.33333333
PP Shaw,849,826,37,136.5289256,22.32432432
SA Asnodkar,501,423,19,120.1704545,22.26315789
Abdul Samad,112,111,5,168.1818182,22.2
SN Khan,460,441,20,137.3831776,22.05
Shakib Al Hasan,840,746,34,121.6965742,21.94117647
R Dhawan,201,153,7,113.3333333,21.85714286
GJ Maxwell,1497,1505,69,148.5686081,21.8115942
SP Fleming,276,196,9,114.619883,21.77777778
AP Majumdar,134,87,4,112.987013,21.75
MA Agarwal,2019,1690,78,129.0076336,21.66666667
CA Pujara,592,390,18,96.77419355,21.66666667
BCJ Cutting,204,238,11,163.0136986,21.63636364
MS Bisla,1232,798,37,108.2767978,21.56756757
IK Pathan,1460,1139,53,116.1060143,21.49056604
M Manhas,771,514,24,105.7613169,21.41666667
Mandeep Singh,1993,1659,78,121.627566,21.26923077
SO Hetmyer,299,275,13,135.4679803,21.15384615
NV Ojha,1999,1554,74,114.2647059,21
AB Barath,86,42,2,97.6744186,21
TU Deshpande,24,21,1,175,21
DE Bollinger,24,21,1,91.30434783,21
JD Ryder,713,604,29,129.6137339,20.82758621
S Sohal,460,368,18,118.3279743,20.44444444
Azhar Mahmood,442,388,19,124.7588424,20.42105263
FY Fazal,215,183,9,102.2346369,20.33333333
C de Grandhomme,379,303,15,132.3144105,20.2
STR Binny,1076,880,44,125.7142857,20
LPC Silva,42,40,2,148.1481481,20
RR Raje,25,20,1,111.1111111,20
R McLaren,232,159,8,89.3258427,19.875
DJG Sammy,314,295,15,117.5298805,19.66666667
C Munro,200,177,9,122.9166667,19.66666667
S Aravind,101,59,3,100,19.66666667
JP Faulkner,617,527,27,130.1234568,19.51851852
JR Philippe,83,78,4,97.5,19.5
RN ten Doeschate,343,326,17,136.9747899,19.17647059
TG Southee,126,115,6,126.3736264,19.16666667
Y Nagar,376,285,15,105.1660517,19
SP Jackson,53,38,2,122.5806452,19
Y Gnaneswara Rao,36,19,1,105.5555556,19
P Ray Barman,50,19,1,76,19
Gurkeerat Singh,653,511,27,117.2018349,18.92592593
