bowler,inning,over,ball,total_runs,is_wicket,overs_bowl,bowling_avg,bowling_strike_rate
SL Malinga,4520,29863,10895,3486,188,753.3333333,18.54255319,24.04255319
DJ Bravo,4135,36112,10412,3869,175,689.1666667,22.10857143,23.62857143
A Mishra,5006,33724,11563,3913,169,834.3333333,23.15384615,29.62130178
PP Chawla,4713,33110,11594,4330,164,785.5,26.40243902,28.73780488
Harbhajan Singh,5212,29367,12352,4038,161,868.6666667,25.08074534,32.37267081
R Ashwin,5180,29173,11991,3756,153,863.3333333,24.54901961,33.85620915
B Kumar,4268,22926,10104,3333,146,711.3333333,22.82876712,29.23287671
SP Narine,3979,30116,10008,3208,143,663.1666667,22.43356643,27.82517483
UT Yadav,3592,22928,9664,3672,137,598.6666667,26.80291971,26.2189781
R Vinay Kumar,3286,20985,7800,3021,127,547.6666667,23.78740157,25.87401575
YS Chahal,3353,20999,7852,2782,124,558.8333333,22.43548387,27.04032258
RA Jadeja,3958,29728,9792,3515,122,659.6666667,28.81147541,32.44262295
A Nehra,2942,15216,7137,2537,121,490.3333333,20.96694215,24.31404959
JJ Bumrah,3263,23812,7782,2655,119,543.8333333,22.31092437,27.42016807
Z Khan,3312,16690,8217,2860,119,552,24.03361345,27.83193277
Sandeep Sharma,3218,14506,7702,2686,117,536.3333333,22.95726496,27.5042735
SR Watson,3085,19924,7850,2742,107,514.1666667,25.62616822,28.8317757
DW Steyn,3560,18166,8317,2568,105,593.3333333,24.45714286,33.9047619
P Kumar,3888,17522,9614,3342,102,648,32.76470588,38.11764706
RP Singh,2715,14900,6886,2417,100,452.5,24.17,27.15
MM Sharma,2772,15903,6400,2488,100,462,24.88,27.72
IK Pathan,2960,17125,7604,2711,99,493.3333333,27.38383838,29.8989899
PP Ojha,2984,19187,6964,2399,99,497.3333333,24.23232323,30.14141414
JA Morkel,2857,12955,6622,2409,96,476.1666667,25.09375,29.76041667
DS Kulkarni,2650,13479,6775,2465,91,441.6666667,27.08791209,29.12087912
CH Morris,2174,14968,5565,1966,88,362.3333333,22.34090909,24.70454545
JD Unadkat,2498,16736,6022,2447,88,416.3333333,27.80681818,28.38636364
M Morkel,2320,12896,6203,2136,88,386.6666667,24.27272727,26.36363636
AR Patel,3118,19803,7301,2502,87,519.6666667,28.75862069,35.83908046
L Balaji,2398,16145,5691,2083,85,399.6666667,24.50588235,28.21176471
Imran Tahir,1919,14752,4662,1713,83,319.8333333,20.63855422,23.12048193
R Bhatia,2366,18340,5892,2059,82,394.3333333,25.1097561,28.85365854
MM Patel,2048,10848,4920,1733,82,341.3333333,21.13414634,24.97560976
AB Dinda,2273,12483,5814,2103,82,378.8333333,25.64634146,27.7195122
Rashid Khan,2255,15735,5265,1573,80,375.8333333,19.6625,28.1875
MJ McClenaghan,1987,11153,4976,1839,75,331.1666667,24.52,26.49333333
Mohammed Shami,2027,11971,5111,2055,74,337.8333333,27.77027027,27.39189189
JH Kallis,2448,16217,6498,2348,74,408,31.72972973,33.08108108
SK Trivedi,2336,16630,5620,1944,73,389.3333333,26.63013699,32
I Sharma,3153,13762,7392,2681,73,525.5,36.7260274,43.19178082
JP Faulkner,1761,13905,4613,1827,72,293.5,25.375,24.45833333
KA Pollard,2211,16479,5272,1975,71,368.5,27.81690141,31.14084507
AD Russell,1634,11308,4282,1743,67,272.3333333,26.01492537,24.3880597
TA Boult,1744,9331,4173,1597,67,290.6666667,23.8358209,26.02985075
Shakib Al Hasan,1973,12065,4846,1676,66,328.8333333,25.39393939,29.89393939
M Muralitharan,2484,16088,5710,1755,66,414,26.59090909,37.63636364
K Rabada,1255,8480,3046,1136,66,209.1666667,17.21212121,19.01515152
KV Sharma,1917,11691,4373,1645,64,319.5,25.703125,29.953125
MG Johnson,1942,10610,4769,1734,64,323.6666667,27.09375,30.34375
SK Warne,1726,13126,4383,1465,60,287.6666667,24.41666667,28.76666667
S Kaul,1540,10946,3706,1476,55,256.6666667,26.83636364,28
S Nadeem,1840,12101,5062,1764,53,306.6666667,33.28301887,34.71698113
SN Thakur,1302,9435,3473,1355,50,217,27.1,26.04
HV Patel,1482,9356,3523,1380,50,247,27.6,29.64
SB Jakati,1826,10916,3904,1474,50,304.3333333,29.48,36.52
A Kumble,1376,9686,3488,1089,49,229.3333333,22.2244898,28.08163265
KH Pandya,1941,11272,4627,1530,49,323.5,31.2244898,39.6122449
S Gopal,1292,8120,3172,1173,49,215.3333333,23.93877551,26.36734694
S Aravind,1155,5787,2855,1057,48,192.5,22.02083333,24.0625
JC Archer,1143,8625,3117,1008,47,190.5,21.44680851,24.31914894
RJ Harris,1175,7175,3146,1085,47,195.8333333,23.08510638,25
YK Pathan,1681,9483,4273,1443,46,280.1666667,31.36956522,36.54347826
Iqbal Abdulla,1460,8038,3376,1125,45,243.3333333,25,32.44444444
HH Pandya,1391,9538,3354,1340,45,231.8333333,29.77777778,30.91111111
NM Coulter-Nile,1095,6430,2739,945,45,182.5,21,24.33333333
DL Chahar,1355,4548,3822,1286,45,225.8333333,28.57777778,30.11111111
AJ Tye,898,7439,2358,892,45,149.6666667,19.82222222,19.95555556
VR Aaron,1384,9232,3842,1474,44,230.6666667,33.5,31.45454545
S Sreesanth,1357,5555,3564,1221,43,226.1666667,28.39534884,31.55813953
P Awana,1111,7180,2798,1046,43,185.1666667,24.3255814,25.8372093
DE Bollinger,1006,5231,2181,716,43,167.6666667,16.65116279,23.39534884
Kuldeep Yadav,1320,9388,3252,1251,43,220,29.09302326,30.69767442
MC Henriques,1511,8173,3316,1255,42,251.8333333,29.88095238,35.97619048
R Sharma,1400,9587,3293,1100,42,233.3333333,26.19047619,33.33333333
Mohammed Siraj,1200,7856,2779,1101,41,200,26.85365854,29.26829268
PJ Sangwan,1245,6780,3135,1201,41,207.5,29.29268293,30.36585366
Yuvraj Singh,1316,9637,3134,1091,39,219.3333333,27.97435897,33.74358974
M Kartik,1903,11173,4249,1418,39,317.1666667,36.35897436,48.79487179
MA Starc,850,5025,2258,725,39,141.6666667,18.58974359,21.79487179
MS Gony,1439,6430,3373,1317,39,239.8333333,33.76923077,36.8974359
DP Nannes,913,5467,2569,815,38,152.1666667,21.44736842,24.02631579
P Negi,1143,7351,2621,954,38,190.5,25.10526316,30.07894737
NLTC Perera,1064,7712,2542,1031,37,177.3333333,27.86486486,28.75675676
KK Cooper,884,7491,2189,789,36,147.3333333,21.91666667,24.55555556
DT Christian,1339,8374,2989,1062,36,223.1666667,29.5,37.19444444
TG Southee,1399,7223,3422,1316,34,233.1666667,38.70588235,41.14705882
DL Vettori,1150,7948,2765,894,34,191.6666667,26.29411765,33.82352941
AB Agarkar,1323,7918,3006,1174,33,220.5,35.57575758,40.09090909
MF Maharoof,636,3674,1625,532,33,106,16.12121212,19.27272727
Azhar Mahmood,863,5840,1971,707,31,143.8333333,22.80645161,27.83870968
A Singh,698,4104,1738,639,31,116.3333333,20.61290323,22.51612903
WD Parnell,905,5509,2194,731,31,150.8333333,23.58064516,29.19354839
RD Chahar,1063,6215,2348,808,31,177.1666667,26.06451613,34.29032258
BA Stokes,996,7640,2606,993,31,166,32.03225806,32.12903226
PJ Cummins,1053,5681,2548,949,31,175.5,30.61290323,33.96774194
Harmeet Singh,808,5778,2002,713,30,134.6666667,23.76666667,26.93333333
KK Ahmed,648,3268,1460,576,30,108,19.2,21.6
B Lee,1270,7171,3343,1126,30,211.6666667,37.53333333,42.33333333
SK Raina,1548,9669,3328,1139,30,258,37.96666667,51.6
MP Stoinis,896,5821,2033,869,29,149.3333333,29.96551724,30.89655172
Mustafizur Rahman,904,6594,1996,693,28,150.6666667,24.75,32.28571429
AD Mathews,1242,8141,2873,1095,28,207,39.10714286,44.35714286
PV Tambe,885,6594,2409,866,28,147.5,30.92857143,31.60714286
STR Binny,877,5058,2200,763,28,146.1666667,27.25,31.32142857
DR Smith,798,5656,2011,825,27,133,30.55555556,29.55555556
R Tewatia,861,5717,2100,684,27,143.5,25.33333333,31.88888889
J Botha,1130,6366,2530,818,27,188.3333333,30.2962963,41.85185185
CR Woakes,526,3897,1458,589,26,87.66666667,22.65384615,20.23076923
SW Tait,862,4639,2087,668,26,143.6666667,25.69230769,33.15384615
Washington Sundar,1005,4555,2332,758,26,167.5,29.15384615,38.65384615
CJ Jordan,579,4723,1544,620,25,96.5,24.8,23.16
SM Curran,654,4317,1724,673,25,109,26.92,26.16
RE van der Merwe,666,4899,1635,515,25,111,20.6,26.64
GB Hogg,712,4895,1655,585,25,118.6666667,23.4,28.48
M Ashwin,978,6606,2235,796,25,163,31.84,39.12
AS Rajpoot,795,4121,2121,844,24,132.5,35.16666667,33.125
Sohail Tanvir,381,2148,982,275,24,63.5,11.45833333,15.875
A Symonds,790,5094,1936,694,23,131.6666667,30.17391304,34.34782609
