,id,balls_played,total_runs,is_wicket,fantasy_point_batting,balls_bowled,wicket_taken,fantasy_point_bowling,total_fantasy_points
A Ashish Reddy,548329,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
A Ashish Reddy,548341,0.0,0.0,0.0,0.0,48.0,2.0,50.0,50.0
A Ashish Reddy,548346,10.0,12.0,1.0,10.0,28.0,1.0,25.0,35.0
A Ashish Reddy,548348,0.0,0.0,0.0,0.0,38.0,1.0,25.0,25.0
A Ashish Reddy,548352,6.0,3.0,1.0,1.0,13.0,1.0,25.0,26.0
A Ashish Reddy,548356,0.0,0.0,0.0,0.0,50.0,1.0,25.0,25.0
A Ashish Reddy,548359,16.0,14.0,1.0,12.0,25.0,2.0,50.0,62.0
A Ashish Reddy,548373,8.0,12.0,0.0,12.0,12.0,0.0,0.0,12.0
A Ashish Reddy,548376,5.0,5.0,1.0,3.0,50.0,3.0,75.0,78.0
A Ashish Reddy,598000,4.0,8.0,0.0,8.0,24.0,1.0,25.0,33.0
A Ashish Reddy,598004,24.0,16.0,1.0,14.0,6.0,1.0,25.0,39.0
A Ashish Reddy,598010,18.0,18.0,1.0,16.0,0.0,0.0,0.0,16.0
A Ashish Reddy,598013,10.0,4.0,1.0,2.0,12.0,1.0,25.0,27.0
A Ashish Reddy,598018,15.0,21.0,0.0,21.0,0.0,0.0,0.0,21.0
A Ashish Reddy,598021,14.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0
A Ashish Reddy,598030,16.0,44.0,0.0,44.0,10.0,0.0,0.0,44.0
A Ashish Reddy,598032,11.0,15.0,1.0,13.0,0.0,0.0,0.0,13.0
A Ashish Reddy,598044,14.0,7.0,1.0,5.0,0.0,0.0,0.0,5.0
A Ashish Reddy,598048,4.0,3.0,1.0,1.0,12.0,0.0,0.0,1.0
A Ashish Reddy,829719,0.0,0.0,0.0,0.0,6.0,1.0,25.0,25.0
A Ashish Reddy,829727,9.0,16.0,0.0,16.0,12.0,0.0,0.0,16.0
A Ashish Reddy,829731,16.0,18.0,1.0,16.0,13.0,1.0,25.0,41.0
A Ashish Reddy,829759,8.0,27.0,0.0,27.0,0.0,0.0,0.0,27.0
A Ashish Reddy,829773,6.0,7.0,1.0,5.0,24.0,2.0,50.0,55.0
A Ashish Reddy,829815,15.0,19.0,1.0,17.0,0.0,0.0,0.0,17.0
A Ashish Reddy,980907,36.0,40.0,1.0,38.0,11.0,0.0,0.0,38.0
A Ashish Reddy,980915,9.0,16.0,1.0,14.0,24.0,1.0,25.0,39.0
A Ashish Reddy,980953,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
A Chandila,548336,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
A Chandila,548365,0.0,0.0,0.0,0.0,48.0,4.0,100.0,100.0
A Chandila,548373,1.0,0.0,1.0,-2.0,48.0,1.0,25.0,23.0
A Chandila,548377,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
A Chandila,598014,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
A Chandila,598019,0.0,0.0,0.0,0.0,24.0,2.0,50.0,50.0
A Chandila,598023,6.0,4.0,0.0,4.0,48.0,0.0,0.0,4.0
A Chandila,598026,0.0,0.0,0.0,0.0,36.0,1.0,25.0,25.0
A Chandila,598032,0.0,0.0,0.0,0.0,18.0,2.0,50.0,50.0
A Chandila,598036,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
A Chandila,598047,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
