,id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken,fantasy_points
0,0,A Ashish Reddy,18,18,0,20,1,42
1,1,A Chandila,2,4,0,28,1,29
2,2,A Chopra,6,10,0,0,0,10
3,3,A Choudhary,10,12,0,37,1,36
4,4,A Dananjaya,0,0,0,0,0,0
5,5,A Flintoff,19,31,0,93,2,78
6,6,A Kumble,7,17,0,26,1,42
7,7,A Mishra,6,12,0,28,1,36
8,8,A Mithun,4,6,0,130,2,55
9,9,A Mukund,7,9,0,0,0,9
10,10,A Nehra,1,5,0,20,1,29
11,11,A Nortje,4,7,0,25,1,31
12,12,A Singh,0,0,0,18,1,25
13,13,A Symonds,32,37,0,42,1,60
14,14,A Uniyal,2,4,0,15,1,29
15,15,A Zampa,0,2,0,13,1,27
16,16,AA Bilakhia,6,13,0,0,0,13
17,17,AA Chavan,11,12,0,88,2,61
18,18,AA Jhunjhunwala,10,15,0,552,5,130
19,19,AA Noffke,3,9,0,43,2,58
20,20,AB Agarkar,17,22,0,58,1,46
21,21,AB Barath,10,21,0,0,0,21
22,22,AB Dinda,0,2,0,28,1,27
23,23,AB McDonald,19,24,0,16,1,47
24,24,AB de Villiers,43,42,0,0,0,42
25,25,AC Blizzard,13,17,0,0,0,17
26,26,AC Gilchrist,23,27,0,0,0,27
27,27,AC Thomas,5,10,0,31,1,35
28,28,AC Voges,28,30,0,294,3,105
29,29,AD Hales,19,24,0,0,0,24
30,30,AD Mascarenhas,4,7,0,17,1,31
31,31,AD Mathews,18,23,0,72,2,70
32,32,AD Nath,6,9,0,0,0,9
33,33,AD Russell,34,30,0,26,1,54
34,34,AF Milne,0,2,0,56,2,52
35,35,AG Murtaza,4,10,0,39,1,35
36,36,AG Paunikar,4,9,0,0,0,9
37,37,AJ Finch,21,25,0,195,3,97
38,38,AJ Turner,0,1,0,0,0,1
39,39,AJ Tye,8,11,0,15,1,35
40,40,AL Menaria,14,18,0,110,2,67
41,41,AM Nayar,13,17,0,64,1,42
42,42,AM Rahane,24,31,0,1,0,30
43,43,AN Ahmed,24,36,0,47,1,59
44,44,AN Ghosh,2,3,0,0,0,3
45,45,AP Dole,13,17,0,17,1,42
46,46,AP Majumdar,13,21,0,0,0,21
47,47,AP Tare,11,14,0,0,0,14
48,48,AR Bawne,0,0,0,0,0,0
49,49,AR Patel,13,17,0,41,1,42
50,50,AS Joseph,0,0,0,9,1,25
51,51,AS Rajpoot,2,6,0,48,1,30
52,52,AS Raut,12,17,0,0,0,17
53,53,AS Yadav,7,7,0,0,0,7
54,54,AT Carey,14,16,0,0,0,16
55,55,AT Rayudu,22,29,0,0,0,29
56,56,AUK Pathan,6,7,0,0,0,7
57,57,Abdul Samad,21,22,0,296,4,120
58,58,Abdur Razzak,0,0,0,0,0,0
59,59,Abhishek Sharma,18,17,0,66,2,66
60,60,Anirudh Singh,9,15,0,0,0,15
61,61,Ankit Sharma,11,12,0,72,2,61
62,62,Ankit Soni,2,3,0,69,2,53
63,63,Anureet Singh,3,9,0,36,1,33
64,64,Arshdeep Singh,0,0,0,21,1,25
65,65,Avesh Khan,0,0,0,150,2,50
66,66,Azhar Mahmood,17,20,0,25,1,44
67,67,B Akhil,8,10,0,55,1,35
68,68,B Chipli,12,17,0,0,0,17
69,69,B Kumar,3,7,0,27,1,31
70,70,B Laughlin,0,2,0,30,1,27
71,71,B Lee,9,12,0,65,2,61
72,72,B Stanlake,0,0,0,33,1,25
73,73,B Sumanth,20,35,0,0,0,34
74,74,BA Bhatt,0,0,0,48,1,25
75,75,BA Stokes,19,24,0,43,1,47
76,76,BAW Mendis,0,1,0,53,1,26
77,77,BB McCullum,24,27,0,0,0,27
78,78,BB Samantray,24,25,0,0,0,24
79,79,BB Sran,4,10,0,63,2,59
80,80,BCJ Cutting,24,21,0,54,1,45
81,81,BE Hendricks,0,1,0,20,1,26
82,82,BJ Haddin,29,18,0,0,0,17
83,83,BJ Hodge,24,30,0,13,1,54
84,84,BJ Rohrer,27,32,0,0,0,31
85,85,BMAJ Mendis,3,7,0,72,2,56
86,86,BR Dunk,8,13,0,0,0,13
87,87,Basil Thampi,10,16,0,43,1,40
88,88,Bipul Sharma,29,31,0,30,1,55
89,89,C Madan,10,15,0,0,0,15
90,90,C Munro,16,19,0,0,0,19
91,91,C Nanda,0,0,0,57,1,25
92,92,C de Grandhomme,15,20,0,80,2,68
93,93,CA Ingram,11,17,0,0,0,17
94,94,CA Lynn,29,34,0,0,0,33
95,95,CA Pujara,13,21,0,0,0,21
96,96,CH Gayle,40,41,0,73,2,89
97,97,CH Morris,22,22,0,22,1,45
98,98,CJ Anderson,20,24,0,49,2,72
99,99,CJ Ferguson,8,16,0,0,0,16
100,100,CJ Jordan,4,8,0,23,1,33
101,101,CJ McKay,4,8,0,150,2,58
102,102,CK Kapugedera,2,5,0,0,0,5
103,103,CK Langeveldt,1,4,0,9,1,29
104,104,CL White,24,27,0,280,4,120
105,105,CM Gautam,12,18,0,0,0,17
106,106,CR Brathwaite,14,12,0,26,1,36
107,107,CR Woakes,8,12,0,18,1,36
108,108,CRD Fernando,2,4,0,13,1,29
109,109,CV Varun,1,5,0,27,1,29
110,110,D Kalyankrishna,1,3,0,81,2,53
111,111,D Padikkal,30,33,0,0,0,33
112,112,D Salunkhe,38,33,0,217,3,107
113,113,D Wiese,19,25,0,23,1,49
114,114,D du Preez,7,10,0,9,1,35
