id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken
0,A Ashish Reddy,18,18,0,20,1
1,A Chandila,2,4,0,28,1
2,A Chopra,6,10,0,0,0
3,A Choudhary,10,12,0,37,1
4,A Dananjaya,0,0,0,0,0
5,A Flintoff,19,31,0,93,2
6,A Kumble,7,17,0,26,1
7,A Mishra,6,12,0,28,1
8,A Mithun,4,6,0,130,2
9,A Mukund,7,9,0,0,0
10,A Nehra,1,5,0,20,1
11,A Nortje,4,7,0,25,1
12,A Singh,0,0,0,18,1
13,A Symonds,32,37,0,42,1
14,A Uniyal,2,4,0,15,1
15,A Zampa,0,2,0,13,1
16,AA Bilakhia,6,13,0,0,0
17,AA Chavan,11,12,0,88,2
18,AA Jhunjhunwala,10,15,0,552,5
19,AA Noffke,3,9,0,43,2
20,AB Agarkar,17,22,0,58,1
21,AB Barath,10,21,0,0,0
22,AB Dinda,0,2,0,28,1
23,AB McDonald,19,24,0,16,1
24,AB de Villiers,43,42,0,0,0
25,AC Blizzard,13,17,0,0,0
26,AC Gilchrist,23,27,0,0,0
27,AC Thomas,5,10,0,31,1
28,AC Voges,28,30,0,294,3
29,AD Hales,19,24,0,0,0
30,AD Mascarenhas,4,7,0,17,1
31,AD Mathews,18,23,0,72,2
32,AD Nath,6,9,0,0,0
33,AD Russell,34,30,0,26,1
34,AF Milne,0,2,0,56,2
35,AG Murtaza,4,10,0,39,1
36,AG Paunikar,4,9,0,0,0
37,AJ Finch,21,25,0,195,3
38,AJ Turner,0,1,0,0,0
39,AJ Tye,8,11,0,15,1
40,AL Menaria,14,18,0,110,2
41,AM Nayar,13,17,0,64,1
42,AM Rahane,24,31,0,1,0
43,AN Ahmed,24,36,0,47,1
44,AN Ghosh,2,3,0,0,0
45,AP Dole,13,17,0,17,1
46,AP Majumdar,13,21,0,0,0
47,AP Tare,11,14,0,0,0
48,AR Bawne,0,0,0,0,0
49,AR Patel,13,17,0,41,1
50,AS Joseph,0,0,0,9,1
51,AS Rajpoot,2,6,0,48,1
52,AS Raut,12,17,0,0,0
53,AS Yadav,7,7,0,0,0
54,AT Carey,14,16,0,0,0
55,AT Rayudu,22,29,0,0,0
56,AUK Pathan,6,7,0,0,0
57,Abdul Samad,21,22,0,296,4
58,Abdur Razzak,0,0,0,0,0
59,Abhishek Sharma,18,17,0,66,2
60,Anirudh Singh,9,15,0,0,0
61,Ankit Sharma,11,12,0,72,2
62,Ankit Soni,2,3,0,69,2
63,Anureet Singh,3,9,0,36,1
64,Arshdeep Singh,0,0,0,21,1
65,Avesh Khan,0,0,0,150,2
66,Azhar Mahmood,17,20,0,25,1
67,B Akhil,8,10,0,55,1
68,B Chipli,12,17,0,0,0
69,B Kumar,3,7,0,27,1
70,B Laughlin,0,2,0,30,1
71,B Lee,9,12,0,65,2
72,B Stanlake,0,0,0,33,1
73,B Sumanth,20,35,0,0,0
74,BA Bhatt,0,0,0,48,1
75,BA Stokes,19,24,0,43,1
76,BAW Mendis,0,1,0,53,1
77,BB McCullum,24,27,0,0,0
78,BB Samantray,24,25,0,0,0
79,BB Sran,4,10,0,63,2
80,BCJ Cutting,24,21,0,54,1
81,BE Hendricks,0,1,0,20,1
82,BJ Haddin,29,18,0,0,0
83,BJ Hodge,24,30,0,13,1
84,BJ Rohrer,27,32,0,0,0
85,BMAJ Mendis,3,7,0,72,2
86,BR Dunk,8,13,0,0,0
87,Basil Thampi,10,16,0,43,1
88,Bipul Sharma,29,31,0,30,1
89,C Madan,10,15,0,0,0
90,C Munro,16,19,0,0,0
91,C Nanda,0,0,0,57,1
92,C de Grandhomme,15,20,0,80,2
93,CA Ingram,11,17,0,0,0
94,CA Lynn,29,34,0,0,0
95,CA Pujara,13,21,0,0,0
96,CH Gayle,40,41,0,73,2
97,CH Morris,22,22,0,22,1
98,CJ Anderson,20,24,0,49,2
99,CJ Ferguson,8,16,0,0,0
100,CJ Jordan,4,8,0,23,1
101,CJ McKay,4,8,0,150,2
102,CK Kapugedera,2,5,0,0,0
103,CK Langeveldt,1,4,0,9,1
104,CL White,24,27,0,280,4
105,CM Gautam,12,18,0,0,0
106,CR Brathwaite,14,12,0,26,1
107,CR Woakes,8,12,0,18,1
108,CRD Fernando,2,4,0,13,1
109,CV Varun,1,5,0,27,1
110,D Kalyankrishna,1,3,0,81,2
111,D Padikkal,30,33,0,0,0
112,D Salunkhe,38,33,0,217,3
113,D Wiese,19,25,0,23,1
114,D du Preez,7,10,0,9,1
115,DA Miller,29,34,0,0,0
116,DA Warner,38,41,0,0,0
117,DAJ Bracewell,0,0,0,3,0
118,DB Das,20,25,0,0,0
119,DB Ravi Teja,14,18,0,35,1
120,DE Bollinger,18,21,0,15,1
121,DH Yagnik,16,18,0,0,0
122,DJ Bravo,18,22,0,21,1
123,DJ Harris,27,37,0,0,0
124,DJ Hooda,13,17,0,84,2
125,DJ Hussey,21,26,0,82,2
126,DJ Jacobs,9,13,0,0,0
127,DJ Muthuswami,0,1,0,37,1
128,DJ Thornely,8,13,0,11,1
129,DJG Sammy,17,19,0,30,1
130,DJM Short,13,16,0,34,1
131,DL Chahar,7,11,0,35,1
132,DL Vettori,11,17,0,36,1
133,DM Bravo,0,0,0,0,0
134,DNT Zoysa,7,11,0,96,2
135,DP Nannes,0,4,0,21,1
136,DP Vijaykumar,0,0,0,117,2
137,DPMD Jayawardene,21,28,0,0,0
138,DR Martyn,6,9,0,0,0
139,DR Sams,0,0,0,0,0
140,DR Shorey,1,6,0,0,0
141,DR Smith,25,29,0,36,1
142,DS Kulkarni,5,11,0,33,1
143,DS Lehmann,4,9,0,0,0
144,DT Christian,16,18,0,45,1
145,DT Patil,6,13,0,0,0
146,DW Steyn,4,7,0,33,1
147,E Lewis,24,26,0,0,0
148,EJG Morgan,21,25,0,0,0
149,ER Dwivedi,19,12,0,0,0
150,F Behardien,4,7,0,0,0
151,F du Plessis,27,34,0,0,0
152,FH Edwards,3,4,0,46,1
153,FY Fazal,17,20,0,15,1
154,G Gambhir,22,31,0,0,0
155,GB Hogg,5,11,0,27,1
156,GC Smith,16,24,0,0,0
157,GC Viljoen,0,1,0,32,1
158,GD McGrath,1,4,0,36,1
159,GH Vihari,7,14,0,124,2
160,GJ Bailey,18,22,0,0,0
161,GJ Maxwell,21,21,0,65,2
162,GR Napier,13,15,0,56,1
163,Gurkeerat Singh,14,18,0,22,1
164,H Das,0,2,0,0,0
165,H Klaasen,9,13,0,0,0
166,HF Gurney,0,0,0,52,1
167,HH Gibbs,18,27,0,0,0
168,HH Pandya,29,28,0,36,1
169,HM Amla,45,44,0,0,0
170,HV Patel,10,11,0,33,1
171,Harbhajan Singh,12,14,0,33,1
172,Harmeet Singh,9,9,0,25,1
173,Harpreet Brar,0,0,0,0,0
174,Harpreet Singh,6,10,0,0,0
175,I Malhotra,0,0,0,0,0
176,I Sharma,3,7,0,64,2
177,I Udana,5,5,0,52,1
