id,players
0,A Ashish Reddy
28,A Chandila
40,A Chopra
46,A Choudhary
51,A Dananjaya
52,A Flintoff
55,A Kumble
97,A Mishra
247,A Mithun
263,A Mukund
265,A Nehra
353,A Nel
354,A Nortje
370,A Singh
393,A Symonds
429,A Uniyal
431,A Zampa
445,AA Bilakhia
452,AA Chavan
465,AA Jhunjhunwala
483,AA Kazi
484,AA Noffke
485,AB Agarkar
527,AB Barath
530,AB Dinda
606,AB McDonald
616,AB de Villiers
772,AC Blizzard
779,AC Gilchrist
859,AC Thomas
874,AC Voges
882,AD Hales
888,AD Mascarenhas
901,AD Mathews
947,AD Nath
957,AD Russell
1029,AF Milne
1034,AG Murtaza
1046,AG Paunikar
1051,AJ Finch
1136,AJ Turner
1140,AJ Tye
1167,AL Menaria
1192,AM Nayar
1243,AM Rahane
1383,AM Salvi
1390,AN Ahmed
1407,AN Ghosh
1409,AP Dole
1412,AP Majumdar
1416,AP Tare
1443,AR Bawne
1444,AR Patel
1541,AS Joseph
1544,AS Rajpoot
1573,AS Raut
1590,AS Roy
1591,AS Yadav
1597,AT Carey
1600,AT Rayudu
1749,AUK Pathan
1756,Abdul Samad
1763,Abdur Razzak
1764,Abhishek Sharma
1778,Anand Rajan
1786,Anirudh Singh
1790,Ankit Sharma
1811,Ankit Soni
1817,Anureet Singh
1839,Arshdeep Singh
1850,Avesh Khan
1859,Azhar Mahmood
1882,B Akhil
1897,B Chipli
1918,B Geeves
1920,B Kumar
2041,B Laughlin
2050,B Lee
2088,B Stanlake
2094,B Sumanth
2098,BA Bhatt
2113,BA Stokes
2155,BAW Mendis
2165,BB McCullum
2274,BB Samantray
2282,BB Sran
2306,BCJ Cutting
2327,BE Hendricks
2334,BJ Haddin
2335,BJ Hodge
2398,BJ Rohrer
2406,BMAJ Mendis
2409,BR Dunk
2412,BW Hilfenhaus
2429,Basil Thampi
2449,Bipul Sharma
2478,C Ganapathy
2479,C Madan
2480,C Munro
2492,C Nanda
2495,C de Grandhomme
2520,CA Ingram
2535,CA Lynn
2576,CA Pujara
2598,CH Gayle
2729,CH Morris
2799,CJ Anderson
2829,CJ Dala
2830,CJ Ferguson
2838,CJ Green
2839,CJ Jordan
2859,CJ McKay
2861,CK Kapugedera
2865,CK Langeveldt
2872,CL White
2917,CM Gautam
2930,CR Brathwaite
2946,CR Woakes
2964,CRD Fernando
2974,CV Varun
2988,D Kalyankrishna
2991,D Padikkal
3006,D Salunkhe
3011,D Wiese
3026,D du Preez
3028,DA Miller
3105,DA Warner
3247,DAJ Bracewell
3248,DB Das
3270,DB Ravi Teja
3295,DE Bollinger
3322,DH Yagnik
3339,DJ Bravo
3478,DJ Harris
3482,DJ Hooda
3536,DJ Hussey
3597,DJ Jacobs
3604,DJ Muthuswami
3610,DJ Thornely
3615,DJ Willey
3618,DJG Sammy
3640,DJM Short
3647,DL Chahar
3695,DL Vettori
3729,DM Bravo
3730,DNT Zoysa
3733,DP Nannes
3762,DP Vijaykumar
3771,DPMD Jayawardene
3849,DR Martyn
3850,DR Sams
3853,DR Shorey
3855,DR Smith
3946,DS Kulkarni
4037,DS Lehmann
4039,DT Christian
4079,DT Patil
4081,DW Steyn
4176,E Lewis
4192,EJG Morgan
4251,ER Dwivedi
4253,F Behardien
4256,F du Plessis
4333,FH Edwards
4339,FY Fazal
4351,G Gambhir
4502,GB Hogg
4523,GC Smith
4552,GC Viljoen
4558,GD McGrath
4572,GH Vihari
4595,GJ Bailey
4631,GJ Maxwell
4713,GR Napier
4714,GS Sandhu
4716,Gagandeep Singh
4720,Gurkeerat Singh
4752,H Das
4753,H Klaasen
4759,HF Gurney
4767,HH Gibbs
4803,HH Pandya
4882,HM Amla
4898,HV Patel
4945,Harbhajan Singh
5105,Harmeet Singh
5132,Harmeet Singh (2)
5133,Harpreet Brar
5136,Harpreet Singh
5139,I Malhotra
5140,I Sharma
5230,I Udana
5240,IC Pandey
5264,IK Pathan
5366,IR Jaggi
5373,IS Sodhi
5381,Imran Tahir
5439,Iqbal Abdulla
5487,Ishan Kishan
5533,J Arunkumar
5536,J Botha
5570,J Suchith
5584,J Syed Mohammad
5595,J Theron
5605,J Yadav
5619,JA Morkel
5709,JC Archer
5744,JC Buttler
5801,JD Ryder
5830,JD Unadkat
5909,JDP Oram
5924,JDS Neesham
5933,JE Taylor
5938,JEC Franklin
5957,JH Kallis
6055,JJ Bumrah
6147,JJ Roy
6155,JJ van der Wath
6158,JL Denly
6159,JL Pattinson
6169,JM Bairstow
6190,JM Kemp
6195,JO Holder
6213,JP Behrendorff
6218,JP Duminy
6297,JP Faulkner
6357,JPR Scantlebury-Searles
6360,JR Hazlewood
6363,JR Hopes
6383,JR Philippe
6388,JW Hastings
6391,Jaskaran Singh
6398,Joginder Sharma
6414,K Goel
6430,K Gowtham
6454,K Khejroliya
6459,K Rabada
6494,K Santokie
6496,K Upadhyay
6499,KA Pollard
6653,KAJ Roach
6655,KB Arun Karthik
6663,KC Cariappa
6674,KC Sangakkara
6742,KD Karthik
6918,KH Pandya
6989,KJ Abbott
6994,KK Ahmed
7011,KK Cooper
7036,KK Nair
7102,KL Nagarkoti
7112,KL Rahul
7184,KM Asif
7186,KM Jadhav
7261,KMA Paul
7269,KMDN Kulasekara
7274,KP Appanna
7287,KP Pietersen
7323,KS Williamson
7375,KV Sharma
7442,KW Richardson
7456,Kamran Akmal
7462,Kamran Khan
7471,Karanveer Singh
7480,Kartik Tyagi
7490,Kuldeep Yadav
7535,L Ablish
7538,L Balaji
7611,L Ngidi
7622,L Ronchi
7627,LA Carseldine
7632,LA Pomersbach
7648,LE Plunkett
7655,LH Ferguson
7669,LJ Wright
7676,LMP Simmons
7705,LPC Silva
7708,LR Shukla
7751,LRPL Taylor
7805,LS Livingstone
7809,M Ashwin
7840,M Kaif
7862,M Kartik
7917,M Klinger
7921,M Manhas
7959,M Markande
7976,M Morkel
8046,M Muralitharan
8112,M Ntini
8121,M Prasidh Krishna
8145,M Rawat
8156,M Vijay
8261,M Vohra
8306,M de Lange
8311,MA Agarwal
8394,MA Khote
8397,MA Starc
8423,MA Wood
8424,MB Parmar
8425,MC Henriques
8482,MC Juneja
8489,MD Mishra
8506,MDKJ Perera
8508,MEK Hussey
8566,MF Maharoof
8586,MG Johnson
8640,MG Neser
8641,MJ Clarke
8647,MJ Guptill
8660,MJ Henry
8662,MJ Lumb
8674,MJ McClenaghan
8730,MJ Santner
8736,MK Lomror
8742,MK Pandey
8876,MK Tiwary
8961,ML Hayden
8993,MM Ali
9012,MM Patel
9075,MM Sharma
9161,MN Samuels
9176,MN van Wyk
9181,MP Stoinis
9227,MR Marsh
9248,MS Bisla
9287,MS Dhoni
9469,MS Gony
9513,MS Wade
9516,MV Boucher
9539,Mandeep Singh
9629,Mashrafe Mortaza
9630,Misbah-ul-Haq
9638,Mohammad Ashraful
9639,Mohammad Asif
9647,Mohammad Hafeez
9655,Mohammad Nabi
9669,Mohammed Shami
9732,Mohammed Siraj
9767,Monu Kumar
9768,Mujeeb Ur Rahman
9786,Mustafizur Rahman
9810,N Jagadeesan
9812,N Pooran
9832,N Rana
9889,N Saini
9899,NA Saini
9925,NB Singh
9927,ND Doshi
9931,NJ Maddinson
9934,NJ Rimmington
9935,NL McCullum
9937,NLTC Perera
9974,NM Coulter-Nile
10006,NS Naik
10010,NV Ojha
10104,Niraj Patel
10110,O Thomas
10114,OA Shah
10136,P Amarnath
10142,P Awana
10175,P Chopra
10176,P Dogra
10188,P Dubey
10191,P Kumar
10310,P Negi
10356,P Parameswaran
10364,P Prasanth
10365,P Ray Barman
10366,P Sahu
10371,P Simran Singh
10374,P Suyal
10379,PA Patel
10515,PA Reddy
10525,PC Valthaty
10548,PD Collingwood
10555,PJ Cummins
10585,PJ Sangwan
10624,PK Garg
10634,PM Sarvesh Kumar
10636,PP Chawla
10800,PP Ojha
10890,PP Shaw
10928,PR Shah
10937,PSP Handscomb
10938,PV Tambe
10971,Pankaj Singh
10988,Parvez Rasool
10999,Q de Kock
11065,R Ashwin
11216,R Bhatia
11310,R Bishnoi
11313,R Dhawan
11338,R Dravid
11420,R McLaren
11438,R Ninan
11440,R Parag
11455,R Rampaul
11467,R Sathish
11494,R Sharma
11538,R Shukla
11545,R Tewatia
11578,R Vinay Kumar
11682,RA Jadeja
11858,RA Shaikh
11859,RA Tripathi
11903,RD Chahar
11933,RD Gaikwad
11939,RE Levi
11945,RE van der Merwe
11966,RG More
11968,RG Sharma
12162,RJ Harris
12199,RJ Peterson
12204,RJ Quiney
12211,RK Bhui
12213,RK Singh
12221,RN ten Doeschate
12244,RP Singh
12326,RR Bhatkal
12327,RR Bose
12328,RR Pant
12396,RR Powar
12422,RR Raje
12432,RR Rossouw
12437,RR Sarwan
12441,RS Bopara
12465,RS Gavaskar
12467,RS Sodhi
12468,RT Ponting
12477,RV Gomez
12490,RV Uthappa
12672,RW Price
12673,Rashid Khan
12735,Rasikh Salam
12736,Ravi Bishnoi
12750,S Anirudha
12762,S Aravind
12800,S Badree
12812,S Badrinath
12877,S Chanderpaul
12880,S Dhawan
13055,S Dube
13069,S Gopal
13113,S Kaul
13159,S Kaushik
13169,S Ladda
13178,S Lamichhane
13187,S Midhun
13188,S Nadeem
13258,S Narwal
13265,S Rana
13273,S Randiv
13281,S Sandeep Warrier
13285,S Sohal
13305,S Sreesanth
13349,S Sriram
13351,S Tyagi
13365,S Vidyut
13373,SA Abbott
13375,SA Asnodkar
13394,SA Yadav
13481,SB Bangar
13491,SB Jakati
13548,SB Joshi
13552,SB Styris
13564,SB Wagh
13572,SC Ganguly
13629,SC Kuggeleijn
13631,SD Chitnis
13640,SD Lad
13641,SE Bond
13649,SE Marsh
13718,SE Rutherford
13725,SJ Srivastava
13739,SK Raina
13928,SK Trivedi
14004,SK Warne
14059,SL Malinga
14181,SM Boland
14183,SM Curran
14206,SM Harwood
14209,SM Katich
14220,SM Pollock
14233,SMSM Senanayake
14241,SN Khan
14266,SN Thakur
14310,SO Hetmyer
14326,SP Fleming
14336,SP Goswami
14357,SP Jackson
14360,SP Narine
14480,SPD Smith
14566,SR Tendulkar
14644,SR Watson
14789,SS Agarwal
14790,SS Cottrell
14796,SS Iyer
14874,SS Mundhe
14875,SS Sarkar
14877,SS Shaikh
14878,SS Tiwary
14947,ST Jayasuriya
14977,STR Binny
15063,SV Samson
15165,SW Billings
15184,SW Tait
15205,Sachin Baby
15217,Salman Butt
15224,Sandeep Sharma
15316,Shahbaz Ahmed
15318,Shahid Afridi
15328,Shakib Al Hasan
15391,Shivam Mavi
15408,Shivam Sharma
15413,Shoaib Ahmed
15420,Shoaib Akhtar
15423,Shoaib Malik
15429,Shubman Gill
15466,Sohail Tanvir
15477,Sunny Gupta
15478,Sunny Singh
15483,Swapnil Singh
15488,T Banton
15490,T Henderson
15492,T Kohli
15495,T Natarajan
15517,T Shamsi
15521,T Taibu
15524,T Thushara
15530,TA Boult
15578,TD Paine
15580,TG Southee
15620,TK Curran
15630,TL Suman
15670,TM Dilshan
15720,TM Head
15730,TM Srivastava
15733,TP Sudhindra
15736,TR Birt
15741,TS Mills
15746,TU Deshpande
15751,Tejas Baroka
15752,U Kaul
15753,UA Birla
15754,UBT Chand
15774,UT Khawaja
15780,UT Yadav
15900,Umar Gul
15906,V Kohli
16091,V Pratap Singh
16100,V Sehwag
16204,V Shankar
16241,VH Zol
16243,VR Aaron
16291,VRV Singh
16309,VS Malik
16322,VS Yeligati
16324,VVS Laxman
16344,VY Mahesh
16361,Vishnu Vinod
16364,W Jaffer
16372,WA Mota
16382,WD Parnell
16408,WP Saha
16505,WPUJC Vaas
16518,Washington Sundar
16553,X Thalaivan Sargunam
16554,Y Gnaneswara Rao
16556,Y Nagar
16576,Y Prithvi Raj
16578,Y Venugopal Rao
16635,YA Abdulla
16646,YBK Jaiswal
16649,YK Pathan
16810,YS Chahal
16908,YV Takawale
16918,Yashpal Singh
16922,Younis Khan
16923,Yuvraj Singh
17052,Z Khan
