bowler,inning,over,ball,total_runs,is_wicket,overs_bowl,bowling_avg,bowling_strike_rate
SL Malinga,4520,29863,10895,3486,188,753.3333333333334,18.54255319148936,24.04255319148936
DJ Bravo,4135,36112,10412,3869,175,689.1666666666666,22.10857142857143,23.62857142857143
A Mishra,5006,33724,11563,3913,169,834.3333333333334,23.153846153846153,29.62130177514793
PP Chawla,4713,33110,11594,4330,164,785.5,26.402439024390244,28.73780487804878
Harbhajan Singh,5212,29367,12352,4038,161,868.6666666666666,25.080745341614907,32.37267080745342
R Ashwin,5180,29173,11991,3756,153,863.3333333333334,24.54901960784314,33.8562091503268
B Kumar,4268,22926,10104,3333,146,711.3333333333334,22.828767123287673,29.232876712328768
SP Narine,3979,30116,10008,3208,143,663.1666666666666,22.433566433566433,27.825174825174827
UT Yadav,3592,22928,9664,3672,137,598.6666666666666,26.802919708029197,26.21897810218978
R Vinay Kumar,3286,20985,7800,3021,127,547.6666666666666,23.787401574803148,25.874015748031496
YS Chahal,3353,20999,7852,2782,124,558.8333333333334,22.43548387096774,27.04032258064516
RA Jadeja,3958,29728,9792,3515,122,659.6666666666666,28.811475409836067,32.442622950819676
A Nehra,2942,15216,7137,2537,121,490.3333333333333,20.96694214876033,24.31404958677686
JJ Bumrah,3263,23812,7782,2655,119,543.8333333333334,22.310924369747898,27.42016806722689
Z Khan,3312,16690,8217,2860,119,552.0,24.03361344537815,27.831932773109244
Sandeep Sharma,3218,14506,7702,2686,117,536.3333333333334,22.957264957264957,27.504273504273506
SR Watson,3085,19924,7850,2742,107,514.1666666666666,25.626168224299064,28.83177570093458
DW Steyn,3560,18166,8317,2568,105,593.3333333333334,24.457142857142856,33.904761904761905
P Kumar,3888,17522,9614,3342,102,648.0,32.76470588235294,38.11764705882353
RP Singh,2715,14900,6886,2417,100,452.5,24.17,27.15
MM Sharma,2772,15903,6400,2488,100,462.0,24.88,27.72
IK Pathan,2960,17125,7604,2711,99,493.3333333333333,27.383838383838384,29.8989898989899
PP Ojha,2984,19187,6964,2399,99,497.3333333333333,24.232323232323232,30.141414141414142
JA Morkel,2857,12955,6622,2409,96,476.1666666666667,25.09375,29.760416666666668
DS Kulkarni,2650,13479,6775,2465,91,441.6666666666667,27.087912087912088,29.12087912087912
CH Morris,2174,14968,5565,1966,88,362.3333333333333,22.34090909090909,24.704545454545453
JD Unadkat,2498,16736,6022,2447,88,416.3333333333333,27.806818181818183,28.386363636363637
M Morkel,2320,12896,6203,2136,88,386.6666666666667,24.272727272727273,26.363636363636363
AR Patel,3118,19803,7301,2502,87,519.6666666666666,28.75862068965517,35.839080459770116
L Balaji,2398,16145,5691,2083,85,399.6666666666667,24.50588235294118,28.211764705882352
Imran Tahir,1919,14752,4662,1713,83,319.8333333333333,20.63855421686747,23.120481927710845
R Bhatia,2366,18340,5892,2059,82,394.3333333333333,25.109756097560975,28.853658536585368
MM Patel,2048,10848,4920,1733,82,341.3333333333333,21.134146341463413,24.975609756097562
AB Dinda,2273,12483,5814,2103,82,378.8333333333333,25.646341463414632,27.71951219512195
Rashid Khan,2255,15735,5265,1573,80,375.8333333333333,19.6625,28.1875
MJ McClenaghan,1987,11153,4976,1839,75,331.1666666666667,24.52,26.493333333333332
Mohammed Shami,2027,11971,5111,2055,74,337.8333333333333,27.77027027027027,27.39189189189189
JH Kallis,2448,16217,6498,2348,74,408.0,31.72972972972973,33.08108108108108
SK Trivedi,2336,16630,5620,1944,73,389.3333333333333,26.63013698630137,32.0
I Sharma,3153,13762,7392,2681,73,525.5,36.726027397260275,43.19178082191781
JP Faulkner,1761,13905,4613,1827,72,293.5,25.375,24.458333333333332
KA Pollard,2211,16479,5272,1975,71,368.5,27.816901408450704,31.140845070422536
AD Russell,1634,11308,4282,1743,67,272.3333333333333,26.01492537313433,24.388059701492537
TA Boult,1744,9331,4173,1597,67,290.6666666666667,23.83582089552239,26.029850746268657
Shakib Al Hasan,1973,12065,4846,1676,66,328.8333333333333,25.393939393939394,29.893939393939394
M Muralitharan,2484,16088,5710,1755,66,414.0,26.59090909090909,37.63636363636363
K Rabada,1255,8480,3046,1136,66,209.16666666666666,17.21212121212121,19.015151515151516
KV Sharma,1917,11691,4373,1645,64,319.5,25.703125,29.953125
MG Johnson,1942,10610,4769,1734,64,323.6666666666667,27.09375,30.34375
SK Warne,1726,13126,4383,1465,60,287.6666666666667,24.416666666666668,28.766666666666666
S Kaul,1540,10946,3706,1476,55,256.6666666666667,26.836363636363636,28.0
S Nadeem,1840,12101,5062,1764,53,306.6666666666667,33.283018867924525,34.716981132075475
SN Thakur,1302,9435,3473,1355,50,217.0,27.1,26.04
HV Patel,1482,9356,3523,1380,50,247.0,27.6,29.64
SB Jakati,1826,10916,3904,1474,50,304.3333333333333,29.48,36.52
A Kumble,1376,9686,3488,1089,49,229.33333333333334,22.224489795918366,28.081632653061224
KH Pandya,1941,11272,4627,1530,49,323.5,31.224489795918366,39.61224489795919
S Gopal,1292,8120,3172,1173,49,215.33333333333334,23.93877551020408,26.367346938775512
S Aravind,1155,5787,2855,1057,48,192.5,22.020833333333332,24.0625
JC Archer,1143,8625,3117,1008,47,190.5,21.4468085106383,24.319148936170212
RJ Harris,1175,7175,3146,1085,47,195.83333333333334,23.085106382978722,25.0
YK Pathan,1681,9483,4273,1443,46,280.1666666666667,31.369565217391305,36.54347826086956
Iqbal Abdulla,1460,8038,3376,1125,45,243.33333333333334,25.0,32.44444444444444
HH Pandya,1391,9538,3354,1340,45,231.83333333333334,29.77777777777778,30.91111111111111
NM Coulter-Nile,1095,6430,2739,945,45,182.5,21.0,24.333333333333332
DL Chahar,1355,4548,3822,1286,45,225.83333333333334,28.57777777777778,30.11111111111111
AJ Tye,898,7439,2358,892,45,149.66666666666666,19.822222222222223,19.955555555555556
VR Aaron,1384,9232,3842,1474,44,230.66666666666666,33.5,31.454545454545453
S Sreesanth,1357,5555,3564,1221,43,226.16666666666666,28.3953488372093,31.558139534883722
P Awana,1111,7180,2798,1046,43,185.16666666666666,24.325581395348838,25.837209302325583
DE Bollinger,1006,5231,2181,716,43,167.66666666666666,16.651162790697676,23.3953488372093
Kuldeep Yadav,1320,9388,3252,1251,43,220.0,29.093023255813954,30.697674418604652
MC Henriques,1511,8173,3316,1255,42,251.83333333333334,29.88095238095238,35.976190476190474
R Sharma,1400,9587,3293,1100,42,233.33333333333334,26.19047619047619,33.333333333333336
Mohammed Siraj,1200,7856,2779,1101,41,200.0,26.853658536585368,29.26829268292683
