batsman,inning,batsman_runs,is_wicket,strike,batting_avg
Iqbal Abdulla,158,88,1,102.32558139534885,88.0
RD Gaikwad,341,204,3,117.91907514450868,68.0
MN van Wyk,172,167,3,123.7037037037037,55.666666666666664
PD Collingwood,210,203,4,127.67295597484276,50.75
HM Amla,550,577,13,138.03827751196172,44.38461538461539
LH Ferguson,30,44,1,146.66666666666666,44.0
KL Rahul,3046,2647,62,133.01507537688443,42.693548387096776
AB de Villiers,4661,4849,114,148.56004901960785,42.53508771929825
DA Warner,5569,5254,126,137.57528148730034,41.698412698412696
JP Duminy,2296,2029,49,120.77380952380952,41.40816326530612
CH Gayle,4847,4772,116,142.78874925194492,41.13793103448276
ML Hayden,1210,1107,27,132.10023866348448,41.0
LMP Simmons,1205,1079,27,122.89293849658314,39.96296296296296
JM Bairstow,910,790,20,137.15277777777777,39.5
KS Williamson,1781,1619,41,132.48772504091653,39.48780487804878
OA Shah,514,506,13,124.93827160493827,38.92307692307692
SE Marsh,2696,2477,64,129.82180293501048,38.703125
MEK Hussey,2240,1977,52,119.96359223300972,38.01923076923077
A Symonds,1090,974,26,124.71190781049937,37.46153846153846
DJ Harris,147,111,3,107.76699029126213,37.0
MS Dhoni,5029,4632,126,132.60807328943602,36.76190476190476
V Kohli,6738,5878,163,127.53308743762204,36.061349693251536
AN Ahmed,52,36,1,133.33333333333331,36.0
JC Buttler,1938,1714,48,144.76351351351352,35.708333333333336
RR Pant,2138,2079,59,146.82203389830508,35.23728813559322
B Sumanth,60,35,1,92.10526315789474,35.0
Shubman Gill,1066,939,27,122.58485639686685,34.77777777777778
CA Lynn,1441,1280,37,136.46055437100213,34.5945945945946
KP Pietersen,1244,1001,29,132.05804749340368,34.51724137931034
F du Plessis,2836,2302,67,125.92997811816193,34.35820895522388
DA Miller,2133,1850,54,134.6433770014556,34.25925925925926
S Dhawan,5926,5197,152,123.50285171102662,34.19078947368421
TM Head,187,205,6,135.76158940397352,34.166666666666664
D Padikkal,511,473,14,118.84422110552764,33.785714285714285
SK Raina,5746,5368,160,132.83840633506557,33.55
D Salunkhe,28,33,1,137.5,33.0
SR Tendulkar,3026,2334,71,114.18786692759295,32.87323943661972
Q de Kock,2240,1959,60,130.68712474983323,32.65
SPD Smith,2914,2333,72,125.56512378902045,32.40277777777778
BJ Rohrer,221,193,6,133.10344827586206,32.166666666666664
Kamran Akmal,128,128,4,164.1025641025641,32.0
MJ Santner,50,32,1,128.0,32.0
AM Rahane,4986,3933,125,118.28571428571428,31.464
G Gambhir,5640,4217,135,119.66515323496027,31.237037037037037
Bipul Sharma,198,187,6,150.80645161290323,31.166666666666668
V Shankar,803,654,21,123.86363636363636,31.142857142857142
SA Yadav,2209,2024,65,131.77083333333331,31.138461538461538
A Flintoff,100,62,2,108.77192982456141,31.0
SR Watson,4460,3874,125,134.14127423822714,30.992
