batsman,bowler,inning,batsman_runs,is_wicket
SK Raina,PP Chawla,138,175,4
V Kohli,R Ashwin,183,160,1
V Kohli,A Mishra,176,158,2
DA Warner,SP Narine,132,158,2
V Kohli,DJ Bravo,129,151,1
S Dhawan,Harbhajan Singh,170,147,4
RG Sharma,PP Chawla,167,146,2
RG Sharma,UT Yadav,107,143,4
V Kohli,UT Yadav,118,141,4
KA Pollard,A Mishra,137,135,1
SK Raina,Harbhajan Singh,178,132,5
RG Sharma,SP Narine,171,129,7
CH Gayle,B Kumar,132,129,1
S Dhawan,DS Kulkarni,146,127,2
SR Watson,SL Malinga,119,125,4
KA Pollard,DJ Bravo,91,125,4
DA Warner,P Kumar,162,124,3
AB de Villiers,SL Malinga,92,124,1
V Kohli,RA Jadeja,162,123,4
V Kohli,PP Chawla,109,123,3
RG Sharma,M Morkel,89,119,2
CH Gayle,PP Chawla,92,116,1
DA Warner,YS Chahal,88,116,1
V Kohli,JJ Bumrah,112,115,3
AM Rahane,PP Chawla,109,115,1
DA Warner,Harbhajan Singh,134,112,4
SK Raina,SP Narine,129,111,3
MS Dhoni,DW Steyn,85,111,2
AB de Villiers,RA Jadeja,117,110,1
G Gambhir,Z Khan,120,109,6
AB de Villiers,Sandeep Sharma,69,107,2
RV Uthappa,R Ashwin,111,106,6
SK Raina,Sandeep Sharma,99,105,2
KD Karthik,JD Unadkat,78,104,0
CH Gayle,P Kumar,127,103,1
AB de Villiers,Harbhajan Singh,111,103,3
CH Gayle,Harbhajan Singh,141,102,5
SK Raina,A Mishra,107,102,4
SR Watson,Sandeep Sharma,100,102,0
V Kohli,DS Kulkarni,111,101,4
MS Dhoni,KA Pollard,97,100,3
RG Sharma,R Bhatia,97,100,2
AC Gilchrist,A Nehra,93,100,1
WP Saha,PP Chawla,88,100,3
V Kohli,SP Narine,137,99,2
AB de Villiers,JJ Bumrah,90,99,2
MS Dhoni,PP Ojha,138,98,7
G Gambhir,JA Morkel,135,98,1
SK Raina,R Vinay Kumar,106,98,1
DA Warner,PP Chawla,85,98,2
AT Rayudu,A Mishra,144,97,3
AM Rahane,A Mishra,127,96,3
SR Watson,Shakib Al Hasan,85,96,1
RG Sharma,R Ashwin,168,94,3
DA Warner,R Ashwin,136,94,4
RG Sharma,AD Russell,94,94,0
S Dhawan,RA Jadeja,93,94,1
YK Pathan,A Mishra,89,94,1
SR Watson,M Kartik,78,94,0
BB McCullum,R Vinay Kumar,54,94,1
SK Raina,UT Yadav,136,93,3
KL Rahul,JJ Bumrah,110,93,2
YK Pathan,PP Ojha,93,93,3
PA Patel,MM Sharma,92,93,2
DA Warner,AR Patel,71,93,2
V Kohli,IK Pathan,91,92,4
JH Kallis,Z Khan,90,92,0
SK Raina,SK Trivedi,86,92,1
S Dhawan,PP Chawla,75,92,2
GJ Maxwell,R Ashwin,79,91,1
SV Samson,B Kumar,122,90,2
AM Rahane,S Nadeem,102,90,4
AM Rahane,UT Yadav,95,90,3
S Dhawan,JJ Bumrah,89,90,1
BB McCullum,Z Khan,83,90,2
DA Warner,MM Sharma,73,90,1
AM Rahane,B Kumar,160,89,6
JH Kallis,PP Ojha,112,89,3
MS Dhoni,SL Malinga,110,89,2
KL Rahul,JC Archer,86,89,0
WP Saha,UT Yadav,80,89,1
JA Morkel,SK Warne,54,89,0
V Kohli,KV Sharma,51,89,0
MS Dhoni,YS Chahal,114,88,2
G Gambhir,P Kumar,103,88,2
AM Rahane,M Morkel,97,88,1
V Sehwag,RP Singh,79,88,1
AB de Villiers,HH Pandya,50,88,0
SK Raina,YS Chahal,103,87,4
SR Watson,PP Chawla,83,87,3
MS Dhoni,B Kumar,77,87,0
DA Warner,Mohammed Shami,71,87,1
KA Pollard,RA Jadeja,55,87,2
S Dhawan,UT Yadav,102,86,1
AM Rahane,Mohammed Shami,78,86,0
AM Rahane,MG Johnson,64,86,2
MK Pandey,Harbhajan Singh,111,85,4
KL Rahul,DL Chahar,88,85,0
M Vijay,P Kumar,73,85,1
DA Miller,RA Jadeja,68,85,1
SK Raina,P Kumar,64,85,3
RV Uthappa,A Mishra,132,84,5
G Gambhir,B Kumar,120,84,0
G Gambhir,Harbhajan Singh,120,84,5
SE Marsh,Harbhajan Singh,106,84,1
JH Kallis,SL Malinga,103,84,3
S Dhawan,SL Malinga,102,84,4
PA Patel,MG Johnson,53,84,1
KD Karthik,MM Sharma,128,83,0
SR Tendulkar,I Sharma,102,83,1
MS Dhoni,JD Unadkat,47,83,1
RG Sharma,DJ Bravo,116,82,5
AT Rayudu,Shakib Al Hasan,98,82,4
V Kohli,Harbhajan Singh,98,82,1
RG Sharma,Shakib Al Hasan,83,82,1
SR Watson,Rashid Khan,80,82,0
SV Samson,S Kaul,78,82,1
KL Rahul,SP Narine,75,82,2
MS Dhoni,PP Chawla,75,82,2
DR Smith,Iqbal Abdulla,73,82,1
RG Sharma,JH Kallis,73,82,1
CH Gayle,AD Russell,72,82,2
DA Warner,UT Yadav,63,82,3
YK Pathan,DW Steyn,61,82,2
BB McCullum,SL Malinga,116,81,4
RG Sharma,P Kumar,89,81,1
Q de Kock,DL Chahar,81,81,2
KL Rahul,Harbhajan Singh,79,81,3
SR Tendulkar,R Vinay Kumar,73,81,3
RG Sharma,A Mishra,142,80,6
RG Sharma,SR Watson,92,80,1
S Dhawan,DJ Bravo,91,80,2
KD Karthik,A Mishra,74,80,2
YK Pathan,KV Sharma,66,80,1
MS Dhoni,IK Pathan,50,80,1
SR Watson,A Mishra,119,79,6
RV Uthappa,AR Patel,108,79,3
RG Sharma,Imran Tahir,102,79,1
DA Warner,Sandeep Sharma,88,79,3
SK Raina,B Kumar,83,79,3
V Sehwag,P Kumar,62,79,3
S Dhawan,M Morkel,61,79,2
SA Yadav,AS Rajpoot,56,79,0
SV Samson,UT Yadav,51,79,3
SR Watson,B Kumar,155,78,4
S Dhawan,P Kumar,93,78,4
JH Kallis,I Sharma,85,78,2
AM Rahane,R Vinay Kumar,81,78,2
RV Uthappa,MM Sharma,81,78,0
V Kohli,AD Russell,63,78,1
MS Dhoni,TA Boult,50,78,3
AD Russell,DJ Bravo,46,78,0
RV Uthappa,Harbhajan Singh,83,77,2
AB de Villiers,S Nadeem,69,77,1
SK Raina,I Sharma,66,77,1
AD Russell,Mohammed Shami,38,77,1
RV Uthappa,SL Malinga,139,76,1
MK Pandey,A Mishra,114,76,3
AM Rahane,MJ McClenaghan,101,76,2
BB McCullum,Harbhajan Singh,85,76,2
V Kohli,I Sharma,84,76,0
SR Watson,R Ashwin,62,76,2
MS Dhoni,A Nehra,46,76,3
AT Rayudu,R Ashwin,97,75,4
PA Patel,IK Pathan,92,75,1
KL Rahul,MJ McClenaghan,80,75,2
AT Rayudu,PP Chawla,76,75,6
KL Rahul,HH Pandya,70,75,0
KD Karthik,RA Jadeja,68,75,2
KA Pollard,SR Watson,66,75,1
GJ Maxwell,KV Sharma,38,75,0
RV Uthappa,B Kumar,119,74,1
AT Rayudu,B Kumar,106,74,2
