,team_name,players,fantasy_points
0,Chennai Super Kings,AT Rayudu,29
1,Chennai Super Kings,DJ Bravo,45
2,Chennai Super Kings,F du Plessis,33
3,Chennai Super Kings,MM Ali,47
4,Chennai Super Kings,MS Dhoni,36
5,Chennai Super Kings,RA Jadeja,47
6,Chennai Super Kings,RD Gaikwad,68
7,Chennai Super Kings,SK Raina,82
8,Chennai Super Kings,SM Curran,47
9,Chennai Super Kings,SN Thakur,33
10,Delhi Capitals,AM Rahane,30
11,Delhi Capitals,CR Woakes,36
12,Delhi Capitals,K Rabada,37
13,Delhi Capitals,MP Stoinis,51
14,Delhi Capitals,PP Shaw,21
15,Delhi Capitals,R Ashwin,35
16,Delhi Capitals,RR Pant,34
17,Delhi Capitals,S Dhawan,57
18,Delhi Capitals,SO Hetmyer,21
19,Delhi Capitals,SPD Smith,31
20,Delhi Capitals,TK Curran,74
21,Kolkata Knight Riders,AD Russell,54
22,Kolkata Knight Riders,CV Varun,29
23,Kolkata Knight Riders,EJG Morgan,24
24,Kolkata Knight Riders,Harbhajan Singh,38
25,Kolkata Knight Riders,KD Karthik,24
26,Kolkata Knight Riders,KL Nagarkoti,56
27,Kolkata Knight Riders,M Prasidh Krishna,53
28,Kolkata Knight Riders,N Rana,51
29,Kolkata Knight Riders,PJ Cummins,42
30,Kolkata Knight Riders,RA Tripathi,26
31,Kolkata Knight Riders,SP Narine,42
32,Kolkata Knight Riders,Shakib Al Hasan,45
33,Kolkata Knight Riders,Shivam Mavi,29
34,Kolkata Knight Riders,Shubman Gill,33
35,Mumbai Indians,CA Lynn,33
36,Mumbai Indians,HH Pandya,52
37,Mumbai Indians,Ishan Kishan,30
38,Mumbai Indians,J Yadav,50
39,Mumbai Indians,JJ Bumrah,35
40,Mumbai Indians,KA Pollard,52
41,Mumbai Indians,KH Pandya,51
42,Mumbai Indians,Q de Kock,31
43,Mumbai Indians,RD Chahar,33
44,Mumbai Indians,RG Sharma,52
45,Mumbai Indians,SA Yadav,30
46,Mumbai Indians,TA Boult,29
47,Punjab Kings,Arshdeep Singh,25
48,Punjab Kings,CH Gayle,89
49,Punjab Kings,CJ Jordan,33
50,Punjab Kings,DJ Hooda,66
51,Punjab Kings,KL Rahul,42
52,Punjab Kings,M Ashwin,27
53,Punjab Kings,MA Agarwal,21
54,Punjab Kings,MC Henriques,51
55,Punjab Kings,Mohammed Shami,29
56,Punjab Kings,N Pooran,30
57,Punjab Kings,Ravi Bishnoi,31
58,Rajasthan Royals,BA Stokes,47
59,Rajasthan Royals,CH Morris,45
60,Rajasthan Royals,DA Miller,33
61,Rajasthan Royals,JC Buttler,34
62,Rajasthan Royals,JD Unadkat,33
63,Rajasthan Royals,M Vohra,24
64,Rajasthan Royals,Mustafizur Rahman,26
65,Rajasthan Royals,R Parag,96
66,Rajasthan Royals,R Tewatia,52
67,Rajasthan Royals,S Dube,39
68,Rajasthan Royals,S Gopal,37
69,Rajasthan Royals,SV Samson,28
70,Rajasthan Royals,YBK Jaiswal,13
71,Royal Challengers Bangalore,AB de Villiers,42
72,Royal Challengers Bangalore,D Padikkal,33
73,Royal Challengers Bangalore,DT Christian,42
74,Royal Challengers Bangalore,GJ Maxwell,69
75,Royal Challengers Bangalore,HV Patel,35
76,Royal Challengers Bangalore,Mohammed Siraj,33
77,Royal Challengers Bangalore,NA Saini,63
78,Royal Challengers Bangalore,Shahbaz Ahmed,25
79,Royal Challengers Bangalore,V Kohli,107
80,Royal Challengers Bangalore,Washington Sundar,39
81,Royal Challengers Bangalore,YS Chahal,29
82,Sunrisers Hyderabad,Abdul Samad,120
83,Sunrisers Hyderabad,Abhishek Sharma,66
84,Sunrisers Hyderabad,B Kumar,31
85,Sunrisers Hyderabad,DA Warner,40
86,Sunrisers Hyderabad,J Suchith,51
87,Sunrisers Hyderabad,JM Bairstow,39
88,Sunrisers Hyderabad,JO Holder,38
89,Sunrisers Hyderabad,KK Ahmed,25
90,Sunrisers Hyderabad,KM Jadhav,21
91,Sunrisers Hyderabad,KS Williamson,39
92,Sunrisers Hyderabad,MK Pandey,29
93,Sunrisers Hyderabad,Mohammad Nabi,40
94,Sunrisers Hyderabad,Mujeeb Ur Rahman,28
95,Sunrisers Hyderabad,Rashid Khan,33
96,Sunrisers Hyderabad,S Nadeem,27
97,Sunrisers Hyderabad,V Shankar,55
98,Sunrisers Hyderabad,WP Saha,24
