bowler,batsman,inning,is_wicket,batsman_runs
PP Ojha,MS Dhoni,138,7,98
Sandeep Sharma,V Kohli,68,7,73
SP Narine,RG Sharma,171,7,129
Z Khan,MS Dhoni,67,7,74
B Kumar,PA Patel,102,7,65
B Kumar,AM Rahane,160,6,89
Z Khan,G Gambhir,120,6,109
R Vinay Kumar,RG Sharma,46,6,22
PP Chawla,AT Rayudu,76,6,75
SK Trivedi,RG Sharma,51,6,45
AR Patel,SR Watson,71,6,53
MM Sharma,AT Rayudu,51,6,52
A Nehra,V Kohli,95,6,60
A Mishra,RG Sharma,142,6,80
R Ashwin,RV Uthappa,111,6,106
A Mishra,SR Watson,119,6,79
Imran Tahir,Ishan Kishan,46,5,45
RA Jadeja,SPD Smith,104,5,68
R Ashwin,CH Gayle,93,5,51
MM Sharma,YK Pathan,50,5,40
DL Chahar,PP Shaw,50,5,38
Harbhajan Singh,G Gambhir,120,5,84
JJ Bumrah,RR Pant,46,5,34
DJ Bravo,RG Sharma,116,5,82
A Mishra,RV Uthappa,132,5,84
AD Russell,SS Iyer,82,5,63
YS Chahal,SV Samson,42,5,30
Harbhajan Singh,SK Raina,178,5,132
R Sharma,KC Sangakkara,25,5,12
Harbhajan Singh,CH Gayle,141,5,102
PP Ojha,G Gambhir,60,5,55
RA Jadeja,SR Watson,95,5,74
SP Narine,SR Watson,40,5,33
YS Chahal,MK Pandey,77,4,43
R Vinay Kumar,YK Pathan,76,4,66
B Kumar,SR Watson,155,4,78
SK Trivedi,DJ Hussey,44,4,35
B Kumar,MK Pandey,35,4,20
JJ Bumrah,GJ Maxwell,39,4,36
UT Yadav,Yuvraj Singh,59,4,55
SL Malinga,SR Watson,119,4,125
RA Jadeja,GJ Maxwell,41,4,35
UT Yadav,V Kohli,118,4,141
YS Chahal,Q de Kock,42,4,33
KH Pandya,AB de Villiers,58,4,51
P Kumar,Harbhajan Singh,6,4,0
SL Malinga,S Dhawan,102,4,84
R Ashwin,DA Warner,136,4,94
A Mishra,RA Jadeja,66,4,31
UT Yadav,RG Sharma,107,4,143
B Kumar,YK Pathan,61,4,50
R Ashwin,AT Rayudu,97,4,75
DL Chahar,AM Rahane,45,4,21
P Kumar,S Dhawan,93,4,78
PP Chawla,BB McCullum,71,4,63
DS Kulkarni,RG Sharma,44,4,65
R Vinay Kumar,SC Ganguly,17,4,10
M Morkel,MK Tiwary,25,4,20
YS Chahal,KA Pollard,69,4,69
DS Kulkarni,KL Rahul,32,4,35
DS Kulkarni,V Kohli,111,4,101
PP Chawla,AB de Villiers,83,4,53
JP Faulkner,S Dhawan,25,4,23
DS Kulkarni,RV Uthappa,56,4,60
YS Chahal,SK Raina,103,4,87
IK Pathan,AC Gilchrist,64,4,66
Shakib Al Hasan,AT Rayudu,98,4,82
Harbhajan Singh,DR Smith,90,4,72
R Ashwin,KA Pollard,43,4,51
R Ashwin,Q de Kock,105,4,74
JJ Bumrah,MS Dhoni,79,4,56
Harbhajan Singh,DA Warner,134,4,112
JJ Bumrah,AR Patel,49,4,21
R Ashwin,PA Patel,83,4,32
SP Narine,AM Rahane,66,4,71
A Mishra,SK Raina,107,4,102
RA Jadeja,V Kohli,162,4,123
RP Singh,NV Ojha,50,4,10
RP Singh,JH Kallis,85,4,51
PP Chawla,SR Tendulkar,86,4,61
AB Dinda,AT Rayudu,33,4,28
PP Chawla,SK Raina,138,4,175
Z Khan,S Dhawan,54,4,49
SL Malinga,BB McCullum,116,4,81
DJ Bravo,SK Raina,40,4,55
UT Yadav,CH Gayle,73,4,70
Harbhajan Singh,S Dhawan,170,4,147
Sandeep Sharma,RG Sharma,56,4,37
MJ McClenaghan,V Kohli,54,4,39
Mohammed Shami,V Kohli,43,4,44
MJ McClenaghan,SV Samson,29,4,22
Sandeep Sharma,CH Gayle,89,4,64
Z Khan,MEK Hussey,42,4,31
Harbhajan Singh,MK Pandey,111,4,85
S Gopal,AB de Villiers,61,4,30
PP Chawla,RA Jadeja,90,4,70
DJ Bravo,KA Pollard,91,4,125
SP Narine,MEK Hussey,64,4,37
DJ Bravo,Harbhajan Singh,44,4,46
AR Patel,BB McCullum,53,4,35
IK Pathan,RV Uthappa,63,4,30
R Ashwin,AM Rahane,58,4,31
Harbhajan Singh,KC Sangakkara,89,4,63
SK Warne,RG Sharma,58,4,52
SR Watson,AT Rayudu,59,4,40
A Nehra,KD Karthik,46,4,46
SL Malinga,MK Pandey,77,4,57
Harbhajan Singh,KK Nair,31,4,20
A Mishra,GJ Maxwell,38,4,55
S Nadeem,AM Rahane,102,4,90
IK Pathan,V Kohli,91,4,92
S Aravind,M Vijay,37,4,40
Z Khan,V Kohli,71,4,64
B Kumar,MK Tiwary,36,3,26
SL Malinga,DPMD Jayawardene,65,3,58
SL Malinga,DB Ravi Teja,15,3,10
PP Ojha,JH Kallis,112,3,89
PP Chawla,WP Saha,88,3,100
DS Kulkarni,DA Miller,23,3,36
I Sharma,DPMD Jayawardene,30,3,27
A Mishra,S Dhawan,50,3,39
Washington Sundar,EJG Morgan,17,3,14
PP Ojha,DJ Bravo,55,3,39
SL Malinga,DJ Bravo,43,3,46
SK Trivedi,MK Pandey,18,3,14
R Ashwin,RG Sharma,168,3,94
PP Chawla,YK Pathan,34,3,22
A Mishra,DA Warner,70,3,52
CH Morris,SK Raina,24,3,21
JC Archer,CH Gayle,33,3,32
SL Malinga,DA Miller,25,3,10
DL Chahar,SV Samson,41,3,39
MC Henriques,GJ Bailey,38,3,15
Sandeep Sharma,SS Iyer,68,3,34
SK Warne,RV Uthappa,32,3,35
MG Johnson,AJ Finch,58,3,32
A Nehra,V Sehwag,62,3,65
R Ashwin,DJ Hussey,27,3,18
JP Faulkner,MG Johnson,12,3,6
JA Morkel,RG Sharma,31,3,16
SK Warne,SK Raina,84,3,65
A Mishra,MK Pandey,114,3,76
MG Johnson,G Gambhir,67,3,47
B Kumar,SS Iyer,61,3,38
CJ Jordan,KD Karthik,21,3,25
Sandeep Sharma,MA Agarwal,76,3,45
MG Johnson,S Dhawan,35,3,22
B Kumar,SK Raina,83,3,79
Sandeep Sharma,PA Patel,75,3,34
PP Ojha,YK Pathan,93,3,93
B Kumar,SE Marsh,19,3,10
JP Faulkner,RG Sharma,24,3,33
R Ashwin,KC Sangakkara,37,3,21
PP Ojha,S Badrinath,34,3,28
Sandeep Sharma,SA Yadav,42,3,32
AD Mathews,R Dravid,46,3,39
Harbhajan Singh,TL Suman,36,3,25
R Ashwin,MA Agarwal,35,3,40
R Ashwin,BB McCullum,72,3,29
IC Pandey,G Gambhir,36,3,20
R Ashwin,YK Pathan,71,3,56
RP Singh,S Badrinath,22,3,17
UT Yadav,AD Mathews,33,3,27
Iqbal Abdulla,RV Uthappa,49,3,24
UT Yadav,AM Rahane,95,3,90
UT Yadav,DA Warner,63,3,82
L Balaji,AB de Villiers,45,3,42
UT Yadav,DJ Hussey,40,3,10
DJ Bravo,SPD Smith,73,3,64
L Balaji,DA Warner,47,3,27
DJ Bravo,SR Watson,47,3,49
RP Singh,DJ Bravo,26,3,20
RP Singh,BB McCullum,32,3,32
UT Yadav,GJ Maxwell,33,3,17
S Nadeem,AT Rayudu,63,3,66
DJ Bravo,WP Saha,39,3,33
L Balaji,RG Sharma,39,3,30
RJ Harris,R Vinay Kumar,15,3,8
DJ Bravo,YK Pathan,73,3,73
L Balaji,V Kohli,48,3,23
IK Pathan,S Dhawan,65,3,56
KH Pandya,RR Pant,44,3,44
DW Steyn,JH Kallis,23,3,26
A Nehra,MS Dhoni,46,3,76
RP Singh,SR Tendulkar,54,3,48
B Kumar,KA Pollard,30,3,30
RP Singh,SR Watson,58,3,32
KV Sharma,RV Uthappa,51,3,32
S Aravind,G Gambhir,34,3,27
Rashid Khan,SK Raina,49,3,46
Rashid Khan,RR Pant,87,3,61
DJ Bravo,JH Kallis,81,3,45
DJ Bravo,KD Karthik,50,3,48
Rashid Khan,KL Rahul,51,3,18
Rashid Khan,JC Buttler,17,3,9
TA Boult,PP Shaw,14,3,13
DJ Bravo,AR Patel,32,3,27
Imran Tahir,KD Karthik,29,3,31
TA Boult,MS Dhoni,50,3,78
KV Sharma,AM Rahane,71,3,52
AR Patel,RV Uthappa,108,3,79
Imran Tahir,DR Smith,18,3,14
AR Patel,SV Samson,78,3,51
Imran Tahir,AR Patel,43,3,27
S Gopal,V Kohli,50,3,47
DJ Bravo,PA Patel,16,3,20
A Nehra,PA Patel,58,3,62
TA Boult,AM Rahane,54,3,35
RA Jadeja,RV Uthappa,86,3,65
RA Jadeja,RG Sharma,106,3,71
RA Jadeja,Mandeep Singh,49,3,43
DW Steyn,KD Karthik,24,3,14
R Vinay Kumar,AD Mathews,18,3,8
KA Pollard,AB de Villiers,28,3,23
PP Chawla,V Kohli,109,3,123
M Morkel,V Kohli,95,3,66
M Morkel,WP Saha,48,3,39
M Muralitharan,KC Sangakkara,58,3,26
M Muralitharan,KD Karthik,68,3,53
AD Russell,RR Pant,34,3,37
M Muralitharan,RV Uthappa,74,3,57
I Sharma,TM Dilshan,32,3,18
JA Morkel,DPMD Jayawardene,30,3,29
B Kumar,AB de Villiers,49,3,61
K Rabada,DA Warner,50,3,57
R Bhatia,SR Tendulkar,37,3,27
R Bhatia,P Dogra,14,3,6
B Kumar,DR Smith,58,3,45
R Bhatia,NV Ojha,37,3,34
I Sharma,RG Sharma,61,3,48
AD Russell,Gurkeerat Singh,14,3,20
B Kumar,GJ Maxwell,30,3,14
A Mishra,SK Warne,14,3,6
JA Morkel,AC Gilchrist,61,3,47
JA Morkel,AB de Villiers,43,3,36
Shivam Mavi,SV Samson,20,3,9
IK Pathan,KA Pollard,26,3,13
A Singh,JH Kallis,46,3,17
